Taxa;Project_phase;Plot_number;Longitude;Latitude;Survey_method;Position;Vegetation type;Pixel_value;Land_cover
Anura;1;1;-48.6300;-16.5800;active_search;NA;NA;15;Pasture
Anura;1;2;-48.6330;-16.7380;active_search;NA;NA;39;Soybean
Anura;1;3;-48.5710;-16.6880;active_search;NA;NA;33;River, Lake and Ocean
Anura;1;4;-48.6620;-16.6540;active_search;NA;NA;21;Mosaic of Uses
Anura;1;5;-48.5860;-16.6770;active_search;NA;NA;3;Forest Formation
Anura;1;6;-48.6430;-16.6310;active_search;NA;NA;21;Mosaic of Uses
Anura;1;7;-48.6780;-16.5860;active_search;NA;NA;3;Forest Formation
Anura;1;8;-48.6940;-16.7100;active_search;NA;NA;3;Forest Formation
Anura;1;9;-48.6300;-16.6450;active_search;NA;NA;3;Forest Formation
Anura;1;10;-48.6120;-16.7380;active_search;NA;NA;3;Forest Formation
Anura;1;11;-48.6430;-16.5960;active_search;NA;NA;3;Forest Formation
Anura;1;12;-48.6920;-16.6350;active_search;NA;NA;15;Pasture
Anura;1;13;-48.6160;-16.6000;active_search;NA;NA;15;Pasture
Anura;1;14;-48.6680;-16.6300;active_search;NA;NA;15;Pasture
Anura;1;15;-48.6110;-16.6770;active_search;NA;NA;15;Pasture
Anura;1;16;-48.6700;-16.6070;active_search;NA;NA;15;Pasture
Anura;1;17;-48.6020;-16.6470;active_search;NA;NA;3;Forest Formation
Anura;1;18;-48.6790;-16.7490;active_search;NA;NA;21;Mosaic of Uses
Anura;1;19;-48.6610;-16.5750;active_search;NA;NA;15;Pasture
Anura;1;20;-48.6930;-16.6080;active_search;NA;NA;15;Pasture
Anura;1;21;-48.6390;-16.7360;active_search;NA;NA;15;Pasture
Anura;1;22;-48.6600;-16.7040;active_search;NA;NA;15;Pasture
Anura;1;24;-48.6010;-16.7240;active_search;NA;NA;15;Pasture
Anura;1;25;-48.6730;-16.6790;active_search;NA;NA;15;Pasture
Anura;1;26;-48.6960;-16.6830;active_search;NA;NA;21;Mosaic of Uses
Anura;1;28;-48.5270;-16.6480;active_search;NA;NA;15;Pasture
Bird;1;1;-48.6552;-16.7111;mist-net;NA;NA;4;Savanna Formation
Bird;1;2;-48.6313;-16.7081;mist-net;NA;NA;3;Forest Formation
Bird;1;3;-48.6565;-16.7016;mist-net;NA;NA;3;Forest Formation
Bird;1;4;-48.6753;-16.6836;mist-net;NA;NA;3;Forest Formation
