class_id,class_name_pt_br,class_name_en,hex_code
3,Formação Florestal,Forest Formation,#1f8d49
6,Floresta Alagável,Floodable Forest,#007785
4,Formação Savânica,Savanna Formation,#7dc975
7,Savana Alagada (beta),Flooded Savanna (beta),#228c70
5,Mangue,Mangrove,#04381d
49,Restinga Arbórea,Wooded Sandbank Vegetation,#02d659
12,Formação Campestre,Grassland Formation,#d6bc74
77,Formação Herbáceo Arbustiva,Herbaceous and Shrub Formation,#86b074
11,Campo Alagado e Área Pantanosa,Wetland,#519799
84,Marismas (beta),Salt Marsh (beta),#81dbbf
50,Restinga Herbácea ou Arbustiva,Herbaceous Sandbank Vegetation,#ffaa5f
32,Apicum,Hypersaline Tidal Flat,#fc8114
29,Afloramento Rochoso,Rocky Outrcrop,#ad5100
15,Pastagem,Pasture,#edde8e
39,Soja,Soybean,#f5b3c8
20,Cana,Sugar cane,#db7093
40,Arroz,Rice,#c71585
62,Algodão (beta),Cotton (beta),#ff69b4
41,Outras Lavouras Temporárias,Other Temporary Crops,#f54ca9
46,Café,Coffe,#d68fe2
47,Citrus,Citrus,#9932cc
35,Dendê,Palm Oil,#9065d0
48,Outras Lavouras Perenes,Other Perennial Crops,#e6ccff
9,Silvicultura,Forest Plantation,#7a5900
21,Mosaico de usos,Mosaic of Uses,#ffefc3
23,"Praia, Duna e Areal","Beach, Dune and Sand Spot",#ffa07a
24,Área Urbanizada,Urban Area,#d4271e
30,Mineração,Mining,#9c0027
75,Usina Fotovoltaica,Photovoltaic Power Plant,#757272
91,Parque eólico (beta),Wind farm (beta),#403d3e
25,Outras Área não Vegetadas,Other non Vegetated Areas,#db4d4f
33,"Rio, Lago e Oceano","River, Lake and Ocean",#2532e4
31,Aquicultura,Aquaculture,#091077
